game_name;game_id;game_type;provider;is_enabled;is_demo_supported;is_freespins_supported;is_jackpot_supported;is_live_supported;lines;platform;jurisdictions;images;options
Casino game52;casino_game52;casino;rgpi;true;true;false;false;false;52;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game53;casino_game53;casino;rgpi;true;true;false;false;false;53;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game54;casino_game54;casino;rgpi;true;true;false;false;false;54;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game55;casino_game55;casino;rgpi;true;true;false;false;false;55;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game56;casino_game56;casino;rgpi;true;true;false;false;false;56;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game57;casino_game57;casino;rgpi;true;true;false;false;false;57;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game58;casino_game58;casino;rgpi;true;true;false;false;false;58;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game59;casino_game59;casino;rgpi;true;true;false;false;false;59;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game60;casino_game60;casino;rgpi;true;true;false;false;false;60;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game61;casino_game61;casino;rgpi;true;true;false;false;false;61;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game62;casino_game62;casino;rgpi;true;true;false;false;false;62;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game63;casino_game63;casino;rgpi;true;true;false;false;false;63;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game64;casino_game64;casino;rgpi;true;true;false;false;false;64;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game65;casino_game65;casino;rgpi;true;true;false;false;false;65;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game66;casino_game66;casino;rgpi;true;true;false;false;false;66;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game67;casino_game67;casino;rgpi;true;true;false;false;false;67;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game68;casino_game68;casino;rgpi;true;true;false;false;false;68;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game69;casino_game69;casino;rgpi;true;true;false;false;false;69;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game70;casino_game70;casino;rgpi;true;true;false;false;false;70;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game71;casino_game71;casino;rgpi;true;true;false;false;false;71;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game72;casino_game72;casino;rgpi;true;true;false;false;false;72;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game73;casino_game73;casino;rgpi;true;true;false;false;false;73;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game74;casino_game74;casino;rgpi;true;true;false;false;false;74;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game75;casino_game75;casino;rgpi;true;true;false;false;false;75;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game76;casino_game76;casino;rgpi;true;true;false;false;false;76;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game77;casino_game77;casino;rgpi;true;true;false;false;false;77;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game78;casino_game78;casino;rgpi;true;true;false;false;false;78;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game79;casino_game79;casino;rgpi;true;true;false;false;false;79;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game80;casino_game80;casino;rgpi;true;true;false;false;false;80;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game81;casino_game81;casino;rgpi;true;true;false;false;false;81;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game82;casino_game82;casino;rgpi;true;true;false;false;false;82;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game83;casino_game83;casino;rgpi;true;true;false;false;false;83;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game84;casino_game84;casino;rgpi;true;true;false;false;false;84;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game85;casino_game85;casino;rgpi;true;true;false;false;false;85;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game86;casino_game86;casino;rgpi;true;true;false;false;false;86;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game87;casino_game87;casino;rgpi;true;true;false;false;false;87;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game88;casino_game88;casino;rgpi;true;true;false;false;false;88;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game89;casino_game89;casino;rgpi;true;true;false;false;false;89;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game90;casino_game90;casino;rgpi;true;true;false;false;false;90;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game91;casino_game91;casino;rgpi;true;true;false;false;false;91;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game92;casino_game92;casino;rgpi;true;true;false;false;false;92;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game93;casino_game93;casino;rgpi;true;true;false;false;false;93;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game94;casino_game94;casino;rgpi;true;true;false;false;false;94;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game95;casino_game95;casino;rgpi;true;true;false;false;false;95;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game96;casino_game96;casino;rgpi;true;true;false;false;false;96;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game97;casino_game97;casino;rgpi;true;true;false;false;false;97;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game98;casino_game98;casino;rgpi;true;true;false;false;false;98;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game99;casino_game99;casino;rgpi;true;true;false;false;false;99;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game100;casino_game100;casino;rgpi;true;true;false;false;false;100;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game101;casino_game101;casino;rgpi;true;true;false;false;false;101;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game102;casino_game102;casino;rgpi;true;true;false;false;false;102;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game103;casino_game103;casino;rgpi;true;true;false;false;false;103;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game104;casino_game104;casino;rgpi;true;true;false;false;false;104;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game105;casino_game105;casino;rgpi;true;true;false;false;false;105;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game106;casino_game106;casino;rgpi;true;true;false;false;false;106;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game107;casino_game107;casino;rgpi;true;true;false;false;false;107;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game108;casino_game108;casino;rgpi;true;true;false;false;false;108;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game109;casino_game109;casino;rgpi;true;true;false;false;false;109;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game110;casino_game110;casino;rgpi;true;true;false;false;false;110;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game111;casino_game111;casino;rgpi;true;true;false;false;false;111;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game112;casino_game112;casino;rgpi;true;true;false;false;false;112;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game113;casino_game113;casino;rgpi;true;true;false;false;false;113;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game114;casino_game114;casino;rgpi;true;true;false;false;false;114;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game115;casino_game115;casino;rgpi;true;true;false;false;false;115;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game116;casino_game116;casino;rgpi;true;true;false;false;false;116;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game117;casino_game117;casino;rgpi;true;true;false;false;false;117;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game118;casino_game118;casino;rgpi;true;true;false;false;false;118;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game119;casino_game119;casino;rgpi;true;true;false;false;false;119;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game120;casino_game120;casino;rgpi;true;true;false;false;false;120;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game121;casino_game121;casino;rgpi;true;true;false;false;false;121;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game122;casino_game122;casino;rgpi;true;true;false;false;false;122;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game123;casino_game123;casino;rgpi;true;true;false;false;false;123;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game124;casino_game124;casino;rgpi;true;true;false;false;false;124;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game125;casino_game125;casino;rgpi;true;true;false;false;false;125;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game126;casino_game126;casino;rgpi;true;true;false;false;false;126;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game127;casino_game127;casino;rgpi;true;true;false;false;false;127;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game128;casino_game128;casino;rgpi;true;true;false;false;false;128;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game129;casino_game129;casino;rgpi;true;true;false;false;false;129;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game130;casino_game130;casino;rgpi;true;true;false;false;false;130;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game131;casino_game131;casino;rgpi;true;true;false;false;false;131;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game132;casino_game132;casino;rgpi;true;true;false;false;false;132;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game133;casino_game133;casino;rgpi;true;true;false;false;false;133;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game134;casino_game134;casino;rgpi;true;true;false;false;false;134;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game135;casino_game135;casino;rgpi;true;true;false;false;false;135;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game136;casino_game136;casino;rgpi;true;true;false;false;false;136;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game137;casino_game137;casino;rgpi;true;true;false;false;false;137;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game138;casino_game138;casino;rgpi;true;true;false;false;false;138;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game139;casino_game139;casino;rgpi;true;true;false;false;false;139;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game140;casino_game140;casino;rgpi;true;true;false;false;false;140;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game141;casino_game141;casino;rgpi;true;true;false;false;false;141;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game142;casino_game142;casino;rgpi;true;true;false;false;false;142;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game143;casino_game143;casino;rgpi;true;true;false;false;false;143;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game144;casino_game144;casino;rgpi;true;true;false;false;false;144;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game145;casino_game145;casino;rgpi;true;true;false;false;false;145;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game146;casino_game146;casino;rgpi;true;true;false;false;false;146;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game147;casino_game147;casino;rgpi;true;true;false;false;false;147;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game148;casino_game148;casino;rgpi;true;true;false;false;false;148;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game149;casino_game149;casino;rgpi;true;true;false;false;false;149;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game150;casino_game150;casino;rgpi;true;true;false;false;false;150;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game151;casino_game151;casino;rgpi;true;true;false;false;false;151;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game152;casino_game152;casino;rgpi;true;true;false;false;false;152;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game153;casino_game153;casino;rgpi;true;true;false;false;false;153;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game154;casino_game154;casino;rgpi;true;true;false;false;false;154;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game155;casino_game155;casino;rgpi;true;true;false;false;false;155;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game156;casino_game156;casino;rgpi;true;true;false;false;false;156;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game157;casino_game157;casino;rgpi;true;true;false;false;false;157;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game158;casino_game158;casino;rgpi;true;true;false;false;false;158;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game159;casino_game159;casino;rgpi;true;true;false;false;false;159;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game160;casino_game160;casino;rgpi;true;true;false;false;false;160;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game161;casino_game161;casino;rgpi;true;true;false;false;false;161;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game162;casino_game162;casino;rgpi;true;true;false;false;false;162;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game163;casino_game163;casino;rgpi;true;true;false;false;false;163;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game164;casino_game164;casino;rgpi;true;true;false;false;false;164;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game165;casino_game165;casino;rgpi;true;true;false;false;false;165;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game166;casino_game166;casino;rgpi;true;true;false;false;false;166;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game167;casino_game167;casino;rgpi;true;true;false;false;false;167;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game168;casino_game168;casino;rgpi;true;true;false;false;false;168;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game169;casino_game169;casino;rgpi;true;true;false;false;false;169;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game170;casino_game170;casino;rgpi;true;true;false;false;false;170;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game171;casino_game171;casino;rgpi;true;true;false;false;false;171;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game172;casino_game172;casino;rgpi;true;true;false;false;false;172;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
